date,open,high,low,close,volume,Name
2017-08-08,34.64,35.11,34.53,34.61,2101964,IVZ
2017-08-08,90.39,91.57,89.81,90.91,651804,JBHT
2017-08-08,39.7145,39.98,39.41,39.61,5272855,JCI
2017-08-08,53.3,54.99,52.61,54.12,1493089,JEC
2017-08-08,132.5,132.8,131.4,132.27,5535804,JNJ
2017-08-08,28.26,28.47,28.23,28.25,3203353,JNPR
2017-08-08,93.95,95.2193,93.6,93.68,13745401,JPM
2017-08-08,48.75,48.86,47.36,47.41,1530332,JWN
2017-08-08,18.3,18.705,18.23,18.35,8701214,KEY
2017-08-08,86.64,86.98,86.02,86.16,3125463,KHC
2017-08-08,20.36,20.58,20.21,20.47,3658758,KIM
2017-08-08,91.99,92.125,90.38,90.68,1319499,KLAC
2017-08-08,121.23,121.79,120.93,121.44,1612261,KMB
2017-08-08,20.01,20.14,19.71,19.75,10587456,KMI
2017-08-08,65.77,66.35,64.71,64.87,1019596,KMX
2017-08-08,43.95,45.73,42.71,45.25,14431703,KORS
2017-08-08,45.64,45.82,45.545,45.6,5747919,KO
2017-08-08,24.26,24.45,24.09,24.13,9033347,KR
2017-08-08,43.51,44.14,42.53,42.82,5462787,KSS
2017-08-08,103.11,104.52,102.8248,103.88,908469,KSU
2017-08-08,69.84,69.94,68.96,69.22,1702661,K
2017-08-08,43.59,43.99,42.535,42.67,2934884,LB
2017-08-08,48.16,48.29,47.84,47.89,929826,LEG
2017-08-08,53.1863,53.7843,52.8431,53.3627,1124036,LEN
2017-08-08,157.83,158.91,157.17,157.43,452523,LH
2017-08-08,34.5,34.59,34.21,34.33,1844254,LKQ
2017-08-08,177.55,178.67,176.48,178.18,551578,LLL
2017-08-08,81.87,82.72,81.63,81.97,3292993,LLY
2017-08-08,297.79,300.42,297.335,300.1,1009268,LMT
2017-08-08,73.89,75.78,73.89,74.34,1214205,LNC
2017-08-08,41.24,41.58,41.15,41.57,729367,LNT
2017-08-08,78.27,78.33,77.125,77.21,4411269,LOW
2017-08-08,155.85,157.86,154.05,155.75,2753190,LRCX
2017-08-08,26.09,26.2,25.69,25.71,1552765,LUK
2017-08-08,55.31,55.45,54.58,54.81,5306840,LUV
2017-08-08,88.99,89.46,88.37,88.73,2375219,LYB
2017-08-08,48.93,49.19,48.85,48.94,792046,L
